Category,Sub0Category,Product_name,Territory,Sale_date,ListPrice,Quantity,Sales_amount,Region,Sales_year
clothing,Caps,AWC Logo Cap,United Kingdom,2012-05-31 00:00:00,8.64,14,120.96,Europe,2012
accessories,Locks,Cable Lock,United Kingdom,2011-11-30 00:00:00,25,6,150,Europe,2012
clothing,Gloves,"Full0Finger Gloves, L",United Kingdom,2011-11-30 00:00:00,37.99,8,303.92,Europe,2012
clothing,Gloves,"Full0Finger Gloves, L",United Kingdom,2011-11-30 00:00:00,37.99,16,607.84,Europe,2012
clothing,Gloves,"Full0Finger Gloves, M",United Kingdom,2011-11-30 00:00:00,37.99,7,265.93,Europe,2012
clothing,Gloves,"Full0Finger Gloves, M",United Kingdom,2011-11-30 00:00:00,37.99,2,75.98,Europe,2012
clothing,Gloves,"Full0Finger Gloves, S",United Kingdom,2011-11-30 00:00:00,37.99,1,37.99,Europe,2012
clothing,Gloves,"Full0Finger Gloves, S",United Kingdom,2011-11-30 00:00:00,37.99,1,37.99,Europe,2012
clothing,Gloves,"Half0Finger Gloves, L",United Kingdom,2011-11-30 00:00:00,23.55,3,70.65,Europe,2012
clothing,Gloves,"Half0Finger Gloves, M",United Kingdom,2011-11-30 00:00:00,23.55,8,188.4,Europe,2012
Clothing,Gloves,"Half0Finger Gloves, S",United Kingdom,2011-11-30 00:00:00,23.55,3,70.65,Europe,2012
Components,Forks,HL Fork,United Kingdom,2011-11-30 00:00:00,229.49,6,1376.94,Europe,2012
Components,Headsets,HL Headset,United Kingdom,2011-11-30 00:00:00,124.73,2,249.46,Europe,2012
components,Mountain Frames,"HL Mountain Frame 0 Black, 38",United Kingdom,2011-11-30 00:00:00,1226.91,2,2453.82,Europe,2012
components,Mountain Frames,"HL Mountain Frame 0 Black, 42",United Kingdom,2011-11-30 00:00:00,1226.91,1,1226.91,Europe,2012
components,Mountain Frames,"HL Mountain Frame 0 Silver, 38",United Kingdom,2011-11-30 00:00:00,1240.45,1,1240.45,Europe,2012
components,Mountain Frames,"HL Mountain Frame 0 Silver, 42",United Kingdom,2011-11-30 00:00:00,1240.45,6,7442.7,Europe,2012
components,Mountain Frames,"HL Mountain Frame 0 Silver, 46",United Kingdom,2011-11-30 00:00:00,1240.45,3,3721.35,Europe,2012
components,Wheels,HL Mountain Front Wheel,United Kingdom,2011-11-30 00:00:00,300.21,2,600.42,Europe,2012
components,Handlebars,HL Mountain Handlebars,France,2011-11-30 00:00:00,109.34,1,109.34,Europe,2012
components,Wheels,HL Mountain Rear Wheel,United Kingdom,2011-11-30 00:00:00,327.21,3,981.63,Europe,2012
components,Wheels,HL Mountain Rear Wheel,United Kingdom,2011-11-30 00:00:00,327.21,4,1308.84,Europe,2012
components,Forks,LL Fork,United Kingdom,2011-11-30 00:00:00,148.22,3,444.66,Europe,2012
components,Wheels,LL Mountain Front Wheel,United Kingdom,2011-11-30 00:00:00,60.74,4,242.96,Europe,2012
components,Wheels,LL Mountain Front Wheel,United Kingdom,2011-11-30 00:00:00,60.74,1,60.74,Europe,2012
components,Handlebars,LL Mountain Handlebars,United Kingdom,2011-11-30 00:00:00,40.49,4,161.96,Europe,2012
components,Wheels,LL Mountain Rear Wheel,United Kingdom,2011-11-30 00:00:00,87.75,3,263.25,Europe,2012
components,Wheels,LL Mountain Rear Wheel,United Kingdom,2011-11-30 00:00:00,87.75,2,175.5,Europe,2012
clothing,Jerseys,"Long0Sleeve Logo Jersey, L",United Kingdom,2011-11-30 00:00:00,48.07,14,672.98,Europe,2012
clothing,Jerseys,"Long0Sleeve Logo Jersey, M",United Kingdom,2011-11-30 00:00:00,48.07,8,384.56,Europe,2012
clothing,Jerseys,"Long0Sleeve Logo Jersey, XL",United Kingdom,2011-11-30 00:00:00,48.07,6,288.42,Europe,2012
clothing,Bib0Shorts,"Men's Bib0Shorts, L",United Kingdom,2011-11-30 00:00:00,89.99,3,269.97,Europe,2012
clothing,Bib0Shorts,"Men's Bib0Shorts, M",United Kingdom,2011-11-30 00:00:00,89.99,6,539.94,Europe,2012
clothing,Bib0Shorts,"Men's Bib0Shorts, S",United Kingdom,2011-11-30 00:00:00,89.99,5,449.95,Europe,2012
clothing,Shorts,"Men's Sports Shorts, L",United Kingdom,2011-11-30 00:00:00,59.99,2,119.98,Europe,2012
clothing,Shorts,"Men's Sports Shorts, M",United Kingdom,2011-11-30 00:00:00,59.99,4,239.96,Europe,2012
accessories,Pumps,Minipump,United Kingdom,2011-11-30 00:00:00,19.99,2,39.98,Europe,2012
